gene	circuit_class	topology_type	description	evidence_source	confidence
AARS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ABHD17A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ABT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACIN1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTB	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTL6A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTR1A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTR2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTR6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTR8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ADAT2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
AHCTF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
AHCY	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
AIFM1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ALG13	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ALG14	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ALYREF	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ANAPC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ANAPC11	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ANAPC4	I	feed_forward_target	regulated by 1 TFs (YBX1), no feedback role	TRRUST_topology	medium
ANKS6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ANLN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARF4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARGLU1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARIH1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARMC6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARPC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATF4	II	mixed_feedback_pair	mixed feedback with IRF7	TRRUST_motif	high
ATL2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATP1A1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATP2A2	I	feed_forward_target	regulated by 5 TFs (ATF6, HAX1, PPARG...), no feedback role	TRRUST_topology	medium
ATP6V1G1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATP6V1H	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATRIP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
AURKAIP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BCAR1	I	feed_forward_target	regulated by 2 TFs (EGR1, NAB2), no feedback role	TRRUST_topology	medium
BCAS2	I	feed_forward_target	regulated by 1 TFs (ESRRB), no feedback role	TRRUST_topology	medium
BCL2L1	I	feed_forward_target	regulated by 16 TFs (BCL6, CEBPB, FOS...), no feedback role	TRRUST_topology	medium
BDP1	I	feed_forward_tf	TF with 3 known targets, no detected feedback	TRRUST_topology	medium
BNIP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BOP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BORA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BPTF	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
BRCA1	II	negative_feedback_loop	negative feedback loop (BRCA1 → ATM → SP1 → AHR → BRCA1)	TRRUST_motif	high
BRD4	V	self_modifying	Bromodomain reader, superenhancer regulation	literature	high
BRIX1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BUB1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BUB1B	I	feed_forward_target	regulated by 1 TFs (ZNF143), no feedback role	TRRUST_topology	medium
BYSL	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
